Lokalitet,ID,Lab-ID,BP,Kalibrert,DeltaC13,Referanse
Anders Madsens gate,1224,Beta-418506,930 ± 30,1032 – 1203 evt.,-26.2,Halvorsen2019
Anders Madsens gate,PA4754,UBA-31471,974 ± 31,998 – 1159 evt.,Halvorsen2019 
Anders Madsens gate,PK10970,UBA-31472,740 ± 26,1228 – 1297 evt.,Halvorsen2019 
Anders Madsens gate,PK14960,UBA-31473,905 ± 44,1035 – 1220 evt.,Halvorsen2019 
Anders Madsens gate,PK15648,UBA-31474,924 ± 39,1033 – 1211 evt.,Halvorsen2019 
Anders Madsens gate,PK18102,UBA-31475,940 ± 43,1025 – 1210 evt.,Halvorsen2019 
Anders Madsens gate,PV20459,UBA-31477,883 ± 28,1045 – 1225 evt.,Halvorsen2019 
Anders Madsens gate,PA24440,UBA-31480,1071 ± 49,774 – 1121 evt.,Halvorsen2019 
Anders Madsens gate,FTMC-BE28-1,992 ± 30,993 – 1155 evt.,Haugesten2023
Anders Madsens gate 3,PK1451,Beta-484353,790 ± 30,1215 – 1280 evt.,-26.0,Haugesten2021a
Anders Madsens gate 3,PA1645,Beta-484354,760 ± 30,1222 – 1285 evt.,-26.1,Haugesten2021a
Anders Madsens gate 3,PK1988,Beta-484355,820 ± 30,1175 – 1273 evt.,-23.3,Haugesten2021a
Anders Madsens gate 3,PK2535,Beta-484356,800 ± 30,1180 – 1279 evt.,-25.3,Haugesten2021a
Anders Madsens gate 3,PK3350,Beta-484357,860 ± 30,1052 – 1263 evt.,-24.9,Haugesten2021a
Anders Madsens gate 3,PK3478,Beta-484358,940 ± 30,1028 – 1172 evt.,-25.0,Haugesten2021a
Anders Madsens gate 3,PK3727,Beta-484359,910 ± 30,1040 – 1214 evt.,-26.4,Haugesten2021a
Anders Madsens gate 3,PK4438,Beta-484360,980 ± 30,995 – 1158 evt.,-25.8,Haugesten2021a 
Anders Madsens gate 3,PK5075,Beta-484361,860 ± 30,1052 – 1263 evt.,-24.2,Haugesten2021a 
Anders Madsens gate 3,PK5167,Beta-484362,870 ± 30,1047 – 1261 evt.,-23.1,Haugesten2021a 
Anders Madsens gate 3,PK5256,Beta-484363,910 ± 30,1040 – 1214 evt.,-23.3,Haugesten2021a 
Anders Madsens gate 3,PA7595,Beta-484364,1110 ± 30,882 – 1015 evt.,-25.4,Haugesten2021a 
Anders Madsens gate 3,PK6602,Beta-484365,960 ± 30,1025 – 1160 evt.,-23.7,Haugesten2021a 
Anders Madsens gate 3,PK7350,Beta-484366,860 ± 30,1052 – 1263 evt.,-24.4,Haugesten2021a 
Anders Madsens gate 3,PA400234,Beta-484368,2200 ± 30,368 – 173 fvt.,-26.4,Haugesten2021a 
Anders Madsens gate 3,PA7622,Beta-484369,1070 ± 30,893 – 1026 evt.,-27.0,Haugesten2021a 
Anders Madsens gate 3,PA400236,Beta-484370,2160 ± 30,356 – 57 fvt.,-25.5,Haugesten2021a 
Baglergaten 2,TS5387,T-9027,940 ± 50,1022 – 1216 evt.,-26.1,
Baglergaten 2,TS5686,T-9028,895 ± 75,1022 – 1270 evt.,-26.1,
Baglergaten 2,PK1489,Beta-455699,1560 ± 30,426 – 575 evt.,-21.3,Haugesten2017
